,0.001km,0.025km,0.05km,0.075km,0.1km,0.125km,0.15km,0.175km,0.2km,0.225km,0.25km,0.275km,0.3km,0.325km,0.35km,0.375km,0.4km,0.425km,0.45km,0.475km,0.5km,0.55km,0.6km,0.65km,0.7km,0.75km,0.8km,0.85km,0.9km,0.95km,1.0km,1.05km,1.1km,1.15km,1.2km,1.25km,1.3km,1.35km,1.4km,1.45km,1.5km,1.55km,1.6km,1.65km,1.7km,1.75km,1.8km,1.85km,1.9km,1.95km,2.0km,2.25km,2.5km,2.75km,3.0km,3.25km,3.5km,3.75km,4.0km,4.25km,4.5km,4.75km,5.0km,5.25km,5.5km,5.75km,6.0km,6.25km,6.5km,6.75km,7.0km,7.25km,7.5km,7.75km,8.0km,8.25km,8.5km,8.75km,9.0km,9.25km,9.5km,9.75km,10.0km
0,16.117,16.618,17.139,17.661,18.182,18.704,19.225,19.747,20.268,20.79,21.311,21.833,22.354,22.876,23.397,23.919,24.44,24.962,25.483,26.005,26.41,27.123,27.836,28.549,29.261,30.256,31.275,32.295,33.314,33.84,33.582,33.324,33.066,32.808,32.55,32.292,32.034,31.776,31.517,31.161,30.805,30.449,30.094,29.738,29.382,29.026,28.67,28.314,27.858,26.916,25.975,21.268,16.562,11.855,8.057,8.371,8.685,8.999,9.313,9.574,9.756,9.939,10.122,10.305,10.487,9.562,8.553,7.545,6.536,5.528,4.519,4.337,5.032,5.727,6.422,7.116,7.811,8.506,9.201,20.248,39.115,57.983,76.85
1,24.162,24.582,25.019,25.456,25.893,26.33,26.768,27.205,27.642,28.079,28.516,28.953,29.39,29.827,30.264,30.701,31.139,31.576,32.013,32.45,32.868,33.689,34.51,35.331,36.152,37.127,38.116,39.105,40.093,41.194,42.472,43.751,45.029,46.308,47.587,48.865,50.144,51.422,52.658,48.817,44.976,41.135,37.293,33.452,29.611,25.77,21.929,18.088,14.89,14.777,14.664,14.097,13.531,12.964,12.614,13.242,13.869,14.497,15.125,14.432,11.783,9.133,6.484,3.835,1.185,10.308,20.316,30.324,40.331,50.339,60.346,62.436,56.119,49.802,43.486,37.169,30.852,24.535,18.218,22.27,34.153,46.036,57.919
2,15.347,16.994,18.71,20.426,22.142,23.858,25.574,27.289,29.005,30.721,32.437,34.153,35.869,37.584,39.3,41.016,42.732,44.448,46.164,47.879,48.33,48.158,47.987,47.816,47.644,47.146,46.619,46.091,45.564,45.045,44.539,44.034,43.528,43.023,42.518,42.012,41.507,41.001,40.486,38.808,37.131,35.453,33.776,32.098,30.421,28.743,27.066,25.388,23.919,23.449,22.978,20.627,18.277,15.926,15.553,24.134,32.715,41.297,49.878,57.21,62.691,68.173,73.654,79.136,84.617,77.929,70.326,62.723,55.12,47.518,39.915,36.889,38.72,40.552,42.384,44.216,46.048,47.88,49.712,53.113,57.699,62.286,66.872
3,21.741,22.577,23.449,24.32,25.191,26.062,26.934,27.805,28.676,29.548,30.419,31.29,32.162,33.033,33.904,34.775,35.647,36.518,37.389,38.261,38.821,39.678,40.535,41.392,42.249,43.152,44.059,44.966,45.873,46.021,44.962,43.903,42.844,41.786,40.727,39.668,38.609,37.55,36.478,33.834,31.191,28.548,25.904,23.261,20.617,17.974,15.331,12.687,10.532,10.721,10.909,11.849,12.789,13.73,15.314,19.814,24.314,28.814,33.314,39.388,47.793,56.198,64.603,73.008,81.413,81.206,80.353,79.5,78.646,77.793,76.939,72.517,64.305,56.093,47.881,39.669,31.458,23.246,15.034,17.854,29.008,40.161,51.315
4,9.566,13.248,17.084,20.919,24.755,28.59,32.426,36.261,40.097,43.933,47.768,51.604,55.439,59.275,63.111,66.946,70.782,74.617,78.453,82.289,82.626,80.337,78.047,75.758,73.469,71.279,69.099,66.919,64.738,64.228,66.371,68.514,70.658,72.801,74.945,77.088,79.231,81.375,83.508,84.474,85.44,86.406,87.372,88.337,89.303,90.269,91.235,92.201,93.057,93.386,93.715,95.361,97.006,98.652,99.735,98.27,96.805,95.34,93.874,91.048,86.206,81.364,76.522,71.68,66.838,69.603,72.939,76.275,79.61,82.946,86.282,87.724,87.156,86.587,86.019,85.45,84.882,84.313,83.745,78.452,69.592,60.732,51.872
5,15.46,18.271,21.199,24.127,27.056,29.984,32.912,35.84,38.768,41.697,44.625,47.553,50.481,53.409,56.338,59.266,62.194,65.122,68.05,70.979,72.283,73.517,74.751,75.985,77.218,78.622,80.041,81.46,82.879,83.528,82.953,82.379,81.804,81.229,80.654,80.079,79.505,78.93,78.363,78.733,79.103,79.473,79.843,80.213,80.584,80.954,81.324,81.694,82.085,82.579,83.073,85.541,88.01,90.478,91.553,86.321,81.088,75.856,70.623,66.69,64.68,62.67,60.66,58.65,56.64,61.262,66.383,71.503,76.623,81.743,86.863,89.071,88.187,87.302,86.418,85.534,84.649,83.765,82.881,81.609,80.046,78.482,76.919
6,10.737,15.103,19.651,24.199,28.747,33.295,37.843,42.391,46.939,51.487,56.035,60.583,65.131,69.679,74.227,78.775,83.323,87.871,92.419,96.967,96.908,92.889,88.87,84.85,80.831,78.803,76.954,75.104,73.255,71.827,71.068,70.308,69.549,68.79,68.031,67.271,66.512,65.753,65.005,65.615,66.225,66.835,67.445,68.055,68.665,69.275,69.885,70.495,70.927,70.504,70.081,67.965,65.849,63.733,60.182,50.136,40.089,30.043,19.996,14.552,15.923,17.293,18.664,20.034,21.404,31.241,41.714,52.187,62.661,73.134,83.607,88.357,87.03,85.704,84.377,83.05,81.724,80.397,79.071,81.053,85.536,90.018,94.5
7,24.287,25.319,26.395,27.47,28.546,29.622,30.697,31.773,32.848,33.924,35.0,36.075,37.151,38.226,39.302,40.378,41.453,42.529,43.604,44.68,45.277,46.067,46.856,47.646,48.435,49.816,51.251,52.685,54.12,55.277,55.993,56.71,57.427,58.143,58.86,59.576,60.293,61.009,61.719,61.566,61.414,61.261,61.109,60.956,60.804,60.651,60.499,60.346,60.117,59.519,58.921,55.93,52.94,49.949,47.841,49.725,51.608,53.492,55.376,55.948,54.577,53.207,51.836,50.466,49.096,42.506,35.524,28.542,21.56,14.578,7.595,4.613,5.876,7.14,8.403,9.666,10.93,12.193,13.456,13.05,11.382,9.714,8.046
8,15.32,17.424,19.615,21.806,23.998,26.189,28.38,30.572,32.763,34.954,37.146,39.337,41.528,43.72,45.911,48.102,50.294,52.485,54.677,56.868,56.493,53.567,50.642,47.716,44.791,43.325,41.99,40.655,39.32,37.532,35.026,32.52,30.014,27.509,25.003,22.497,19.991,17.485,14.998,14.704,14.41,14.116,13.822,13.528,13.235,12.941,12.647,12.353,12.159,12.444,12.728,14.15,15.573,16.995,19.233,25.165,31.096,37.028,42.96,45.653,43.552,41.451,39.349,37.248,35.147,31.392,27.513,23.634,19.755,15.876,11.997,10.521,11.595,12.669,13.742,14.816,15.89,16.964,18.038,19.331,20.791,22.25,23.709
9,30.788,30.992,31.205,31.418,31.631,31.844,32.057,32.27,32.483,32.696,32.909,33.122,33.335,33.548,33.761,33.975,34.188,34.401,34.614,34.827,34.848,34.728,34.609,34.489,34.37,34.372,34.385,34.399,34.412,33.894,32.531,31.168,29.805,28.443,27.08,25.717,24.354,22.991,21.651,22.929,24.207,25.485,26.763,28.041,29.319,30.597,31.875,33.153,34.208,34.198,34.189,34.139,34.09,34.04,33.792,32.641,31.489,30.338,29.187,26.843,22.732,18.621,14.509,10.398,6.287,6.938,7.947,8.955,9.964,10.972,11.981,12.868,13.626,14.384,15.142,15.9,16.658,17.416,18.174,18.678,18.991,19.304,19.616
