,0.001km,0.025km,0.05km,0.075km,0.1km,0.125km,0.15km,0.175km,0.2km,0.225km,0.25km,0.275km,0.3km,0.325km,0.35km,0.375km,0.4km,0.425km,0.45km,0.475km,0.5km,0.55km,0.6km,0.65km,0.7km,0.75km,0.8km,0.85km,0.9km,0.95km,1.0km,1.05km,1.1km,1.15km,1.2km,1.25km,1.3km,1.35km,1.4km,1.45km,1.5km,1.55km,1.6km,1.65km,1.7km,1.75km,1.8km,1.85km,1.9km,1.95km,2.0km,2.25km,2.5km,2.75km,3.0km,3.25km,3.5km,3.75km,4.0km,4.25km,4.5km,4.75km,5.0km,5.25km,5.5km,5.75km,6.0km,6.25km,6.5km,6.75km,7.0km,7.25km,7.5km,7.75km,8.0km,8.25km,8.5km,8.75km,9.0km,9.25km,9.5km,9.75km,10.0km
0,278.278,278.051,278.032,277.869,277.78,277.725,277.547,277.358,277.21,276.95,276.707,276.725,276.62,276.5,276.499,276.379,276.162,275.984,275.793,275.65,275.405,275.01,274.735,274.263,273.872,273.4,272.968,272.705,272.263,271.892,271.44,271.038,270.59,270.203,269.75,269.43,268.97,268.468,268.01,267.542,267.107,266.635,266.18,265.919,265.603,265.288,265.024,264.72,264.458,264.338,264.343,263.896,262.98,261.595,260.79,259.589,259.664,261.603,261.86,260.753,259.962,260.328,260.15,258.437,256.48,254.747,252.436,251.912,251.055,251.417,250.032,248.957,247.057,245.025,242.899,240.749,238.327,235.976,233.643,231.515,235.74,236.213,235.14
1,282.35,282.631,282.948,282.878,282.654,282.458,282.236,282.022,281.828,281.606,281.355,281.15,280.914,280.669,280.41,280.221,279.942,279.732,279.52,279.305,279.1,278.772,278.307,277.78,277.308,276.834,276.384,275.902,275.49,274.976,274.526,274.041,273.562,273.107,272.623,272.11,271.587,271.222,270.734,270.28,269.835,269.583,269.533,269.5,269.41,269.12,268.728,268.746,269.28,270.774,270.977,269.109,267.937,266.26,265.218,263.162,261.085,259.51,257.908,255.925,254.38,253.41,254.357,254.487,253.363,251.859,250.437,249.2,247.35,245.603,244.428,243.09,240.963,239.802,238.057,236.095,234.406,232.338,236.535,236.66,237.696,236.583,235.73
2,274.125,274.852,275.397,275.258,275.18,275.188,275.11,276.042,276.385,276.793,277.337,277.716,277.813,277.825,277.743,277.825,277.774,277.65,277.558,277.41,277.29,276.833,276.4,276.008,276.223,276.31,276.016,275.59,275.1,274.757,274.57,274.27,274.187,274.429,274.137,273.796,273.499,273.239,273.4,273.63,273.29,273.07,272.854,272.927,272.847,272.586,272.368,271.98,271.527,271.192,270.841,270.183,269.168,267.38,265.643,264.296,262.513,260.798,258.915,258.228,257.306,256.716,255.99,254.569,252.537,251.286,249.67,248.327,246.473,244.749,243.22,242.086,240.441,238.68,236.753,234.194,232.48,231.77,230.819,228.813,226.896,233.246,234.92
3,283.511,284.421,284.502,284.256,284.042,283.806,283.645,283.445,283.34,283.118,282.852,282.632,282.414,282.199,282.06,281.875,281.678,281.498,281.305,281.207,281.038,280.61,280.274,280.06,279.774,279.42,279.048,278.61,278.346,278.41,278.217,277.765,277.482,277.107,276.75,276.67,276.688,276.33,275.935,275.5,275.152,274.818,274.46,274.194,273.899,273.497,273.068,272.723,272.41,272.314,272.23,270.537,268.992,266.725,265.35,264.222,262.385,260.86,258.777,256.63,256.845,257.648,256.25,254.478,254.275,252.625,250.637,249.493,248.405,247.332,245.69,243.855,242.008,240.203,238.296,235.872,233.728,231.752,229.839,227.858,225.815,225.295,224.04
4,277.266,278.17,278.654,279.31,279.58,279.9,280.101,280.6,280.713,280.54,280.416,280.29,280.623,280.588,280.415,280.226,280.094,279.942,279.805,279.65,279.55,279.248,279.398,279.145,278.859,278.539,278.54,278.646,278.448,278.558,278.46,278.089,277.608,277.088,276.626,276.157,275.69,275.468,275.228,274.842,274.594,274.296,273.89,273.6,273.29,272.816,272.4,272.373,272.166,271.965,271.744,270.235,268.634,266.488,264.99,263.342,261.983,260.002,258.988,257.714,256.809,255.364,253.914,252.515,250.5,248.08,248.248,246.486,244.61,243.453,242.14,240.422,238.2,237.25,236.95,235.184,234.439,232.772,230.812,229.29,229.006,229.991,230.726
5,287.814,289.106,289.21,289.101,288.96,288.818,288.626,288.588,288.431,288.262,288.09,287.868,287.655,287.464,287.234,286.993,286.754,286.522,286.293,286.064,285.838,285.408,285.034,284.728,284.275,283.822,283.426,283.304,283.238,283.406,283.145,282.772,282.43,282.09,281.77,281.336,281.066,280.808,280.392,279.948,279.425,279.017,278.616,278.28,277.967,277.63,277.343,277.043,276.686,276.296,275.868,273.608,271.383,269.615,267.64,265.53,263.827,261.683,259.73,257.37,254.98,252.728,250.648,248.132,245.7,243.438,243.914,242.455,240.864,239.275,238.068,235.5,236.119,237.248,235.6,234.03,232.27,231.636,231.15,230.834,230.508,230.748,230.949
6,277.962,279.96,280.023,280.044,280.196,280.883,281.727,282.54,282.781,282.94,283.07,282.982,282.802,282.714,282.85,282.89,282.746,282.65,282.541,282.46,282.439,282.545,282.56,282.318,282.046,281.66,281.243,281.052,280.85,280.544,280.273,279.857,279.454,279.36,279.411,279.557,279.669,279.432,279.098,278.798,278.634,278.313,278.25,277.823,277.4,276.947,276.62,276.576,276.666,276.623,276.42,274.261,272.445,270.76,268.654,266.903,265.46,263.844,262.415,260.575,258.683,256.19,254.19,252.432,250.06,249.45,248.264,246.45,244.542,242.15,240.143,238.383,236.25,234.046,231.975,230.052,228.106,226.54,225.45,225.856,226.005,224.04,222.302
7,288.564,288.67,288.596,288.35,288.169,287.972,287.783,287.578,287.36,287.157,286.949,286.709,286.45,286.287,286.107,285.918,285.648,285.362,285.24,284.928,284.758,284.445,283.83,283.7,283.524,283.138,282.782,282.664,282.68,282.98,283.63,284.188,283.962,283.597,283.367,282.905,282.54,282.06,281.659,281.245,280.805,280.402,280.069,279.557,279.19,278.7,278.64,278.415,277.895,277.4,277.01,275.685,273.95,272.208,269.989,267.993,266.32,263.89,261.912,260.233,258.79,259.503,258.657,256.72,254.705,252.973,250.712,249.05,248.55,246.215,243.74,241.206,238.733,236.313,233.82,231.418,229.086,226.934,224.726,222.231,220.411,219.482,222.26
8,281.614,283.252,283.32,283.384,283.922,284.28,284.182,284.012,283.838,283.62,283.562,283.782,284.23,284.644,284.757,284.674,284.625,284.54,284.48,284.326,284.089,283.671,283.262,282.774,282.322,281.877,281.503,281.11,280.942,280.972,280.606,280.45,280.045,279.621,279.635,280.138,279.816,279.476,279.114,278.73,278.323,277.915,277.577,277.28,276.843,276.486,276.126,275.792,275.53,275.192,275.117,274.559,272.725,270.733,268.86,266.791,265.285,264.493,265.109,263.643,262.393,261.319,259.089,256.512,254.018,251.693,250.53,248.725,246.947,244.952,242.944,241.496,239.689,237.479,235.077,232.738,231.327,229.216,226.822,224.611,222.643,220.4,218.61
9,289.074,290.457,290.407,290.378,290.164,289.972,289.77,289.59,289.35,289.118,288.894,288.703,288.463,288.197,288.005,287.76,287.483,287.239,287.02,286.777,286.547,286.097,285.637,285.198,284.748,284.328,283.949,283.53,283.125,282.855,282.626,282.373,282.086,281.788,281.366,281.045,280.655,280.324,280.005,279.758,279.46,279.02,278.66,278.435,278.174,277.955,277.54,277.1,276.684,276.294,275.935,273.98,271.622,270.363,268.867,267.098,265.082,263.275,261.7,260.123,259.635,258.224,255.617,253.223,253.791,252.486,250.491,248.288,245.96,243.977,241.713,239.932,238.271,236.48,234.43,232.17,230.395,228.45,226.088,224.027,221.69,219.403,218.169
